ar16_index,canonical_esrs,language,official_esrs,official_theme,official_subtheme,official_subtopic,source_publication_id,source_url
1,E1,bg,E1,Изменение на климата,Адаптиране към изменението на климата,,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
2,E1,bg,E1,Изменение на климата,Смекчаване на изменението на климата,,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
3,E1,bg,E1,Изменение на климата,Енергия,,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
4,E2,bg,E2,Замърсяване,Замърсяване на въздуха,,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
5,E2,bg,E2,Замърсяване,Замърсяване на водите,,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
6,E2,bg,E2,Замърсяване,Замърсяване на почвите,,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
7,E2,bg,E2,Замърсяване,Замърсяване на живите организми и хранителните ресурси,,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
8,E2,bg,E2,Замърсяване,"Вещества, пораждащи безпокойство",,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
9,E2,bg,E2,Замърсяване,"Вещества, пораждащи сериозно безпокойство",,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
10,E2,bg,E2,Замърсяване,Пластмасови микрочастици,,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
11,E3,bg,E3,Водни и морски ресурси,Води,Потребление на вода,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
12,E3,bg,E3,Водни и морски ресурси,Води,Водовземане,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
13,E3,bg,E3,Водни и морски ресурси,Води,Заустване на води,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
14,E3,bg,E3,Водни и морски ресурси,Води,Заустване на води в океаните,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
15,E3,bg,E3,Водни и морски ресурси,Морски ресурси,Добив и използване на морски ресурси,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
16,E4,bg,E4,Биологично разнообразие и екосистеми,Преки фактори за въздействие върху загубата на биологично разнообразие,Изменение на климата,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
17,E4,bg,E4,Биологично разнообразие и екосистеми,Преки фактори за въздействие върху загубата на биологично разнообразие,"Промени в земеползването, промени в използването на сладка вода и промени в използването на моретата",3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
