"python_index","python_esrs_key","esrs_prefix"
"1","esrs_e1_climate_change","E1"
"2","esrs_e1_adaptation_to_climate_change","E1"
"3","esrs_e1_mitigation_of_climate_change","E1"
"4","esrs_e1_energy_use","E1"
"5","esrs_e2_pollution","E2"
"6","esrs_e2_pollution_air_pollution","E2"
"7","esrs_e2_pollution_soil_pollution","E2"
"8","esrs_e2_pollution_water_pollution","E2"
"9","esrs_e2_substances_of_concern","E2"
"10","esrs_e2_substances_of_very_high_concern","E2"
"11","esrs_e2_impact_on_ecosystems_and_Human_Health","E2"
"12","esrs_e2_pollution_microplastics","E2"
"13","esrs_e3_water_and_marine_resources","E3"
"14","esrs_e3_Water_Consumption","E3"
"15","esrs_e3_Water_Withdrawal","E3"
"16","esrs_e3_Water_Discharge","E3"
"17","esrs_e3_Water_Discharge_into_oceans","E3"
"18","esrs_e3_Extraction_and_use_of_marine_resources","E3"
"19","esrs_e3_other","E3"
"20","esrs_e4_direct_impact_biodiversity_loss_climate_change","E4"
"21","esrs_e4_direct_impact_biodiversity_loss_change_land_use_freshwater_sea_use","E4"
"22","esrs_e4_direct_impact_biodiversity_loss_direct_exploitation","E4"
"23","esrs_e4_direct_impact_biodiversity_exotic_invading_species","E4"
"24","esrs_e4_direct_impact_biodiversity_pollution","E4"
"25","esrs_e4_direct_impact_biodiversity_others","E4"
"26","esrs_e4_impact_on_status_species_size_of_species_population","E4"
"27","esrs_e4_impact_on_status_species_extinction_risk_species","E4"
"28","esrs_e4_impact_extension_status_ecosystems_soil_degradation","E4"
"29","esrs_e4_impact_extension_status_ecosystems_desertification","E4"
"30","esrs_e4_impact_extension_status_ecosystems_soil_sealing","E4"
"31","esrs_e4_impacts_dependencies_services_ecosystems","E4"
"32","esrs_e5_resource_use_circular_economy_resource_input","E5"
"33","esrs_e5_resource_use_circular_economy_resource_output","E5"
"34","esrs_e5_resource_use_circular_economy_waste_management","E5"
"35","esrs_s1_workforce_working_conditions_safe_employment","S1"
"36","esrs_s1_workforce_working_conditions_working_time","S1"
"37","esrs_s1_workforce_working_conditions_fair_salary","S1"
"38","esrs_s1_workforce_working_conditions_social_dialogue","S1"
"39","esrs_s1_workforce_working_conditions_association_freedom_works_council_information_rights","S1"
"40","esrs_s1_workforce_working_conditions_collective_negotiation_collective_agreement","S1"
"41","esrs_s1_workforce_working_conditions_reconciling_work_family_life","S1"
"42","esrs_s1_workforce_working_conditions_health_safety","S1"
"43","esrs_s1_equal_treatment_opportunities_gender_equality_equal_pay_work_equal_value","S1"
"44","esrs_s1_equal_treatment_opportunities_training_competence_development","S1"
"45","esrs_s1_equal_treatment_opportunities_employment_inclusion_people_disabilities","S1"
"46","esrs_s1_equal_treatment_opportunities_measures_against_violence_harassment_workplace","S1"
"47","esrs_s1_equal_treatment_opportunities_diversity","S1"
"48","esrs_s1_other_labour_rights_child_labour","S1"
"49","esrs_s1_other_labour_rights_forced_labour","S1"
"50","esrs_s1_other_labour_rights_adequate_housing","S1"
"51","esrs_s1_other_labour_rights_privacity","S1"
"52","esrs_s2_workers_value_chain_working_conditions_safe_employment","S2"
"53","esrs_s2_workers_value_chain_working_conditions_working_time","S2"
"54","esrs_s2_workers_value_chain_working_conditions_fair_salary","S2"
"55","esrs_s2_workers_value_chain_working_conditions_social_dialogue","S2"
"56","esrs_s2_workers_value_chain_working_conditions_association_freedom_works_council_information_rights","S2"
"57","esrs_s2_workers_value_chain_working_conditions_collective_negotiation_collective_agreement","S2"
"58","esrs_s2_workers_value_chain_working_conditions_reconciling_work_family_life","S2"
"59","esrs_s2_workers_value_chain_working_conditions_health_safety","S2"
"60","esrs_s2_equal_treatment_opportunities_gender_equality_equal_pay_work_equal_value","S2"
"61","esrs_s2_equal_treatment_opportunities_training_competence_development","S2"
"62","esrs_s2_equal_treatment_opportunities_employment_inclusion_people_disabilities","S2"
"63","esrs_s2_equal_treatment_opportunities_measures_against_violence_harassment_workplace","S2"
"64","esrs_s2_equal_treatment_opportunities_diversity","S2"
"65","esrs_s2_other_labour_rights_child_labour","S2"
"66","esrs_s2_other_labour_rights_forced_labour","S2"
"67","esrs_s2_other_labour_rights_adequate_housing","S2"
"68","esrs_s2_other_labour_rights_water_sanitation","S2"
"69","esrs_s2_other_labour_rights_privacity","S2"
"70","esrs_s3_affected_groups_adequate_housing","S3"
"71","esrs_s3_affected_groups_adequate_food","S3"
"72","esrs_s3_affected_groups_water_sanitation","S3"
"73","esrs_s3_affected_groups_land_incidents","S3"
"74","esrs_s3_affected_groups_security_incidents","S3"
"75","esrs_s3_affected_groups_expression_freedom","S3"
"76","esrs_s3_affected_groups_assembly_freedom","S3"
"77","esrs_s3_affected_groups_indicence_human_rights","S3"
"78","esrs_s3_affected_groups_consent","S3"
"79","esrs_s3_affected_groups_self_determination","S3"
"80","esrs_s3_affected_groups_cultural_rights","S3"
"81","esrs_s4_consumers_incidents_privacity","S4"
"82","esrs_s4_consumers_incidents_expression_freedom","S4"
"83","esrs_s4_consumers_incidents_information_access","S4"
"84","esrs_s4_consumers_safety_health","S4"
"85","esrs_s4_consumers_safety_security","S4"
"86","esrs_s4_consumers_safety_child_protection","S4"
"87","esrs_s4_consumers_inclusion_non_discrimination","S4"
"88","esrs_s4_consumers_inclusion_access_products","S4"
"89","esrs_s4_consumers_inclusion_responsible_marketing","S4"
"90","esrs_g1_corporate_behaviour_culture","G1"
"91","esrs_g1_corporate_behaviour_whistleblower_protection","G1"
"92","esrs_g1_corporate_behaviour_animal_welfare","G1"
"93","esrs_g1_corporate_behaviour_political_engagement","G1"
"94","esrs_g1_corporate_behaviour_supplier_relationship","G1"
"95","esrs_g1_corporate_behaviour_corruption_prevention","G1"
"96","esrs_g1_corporate_behaviour_corruption_incidents","G1"
