"ar16_index","esrs","theme_en","subtheme_en","subtopic_en","theme_es","subtheme_es","subtopic_es","consolidated"
"1","E1","Climate change","Adaptation to climate change",,"Cambio climático","Adaptación al cambio climático",,"True"
"2","E1","Climate change","Climate change mitigation",,"Cambio climático","Mitigación del cambio climático",,"False"
"3","E1","Climate change","Energy",,"Cambio climático","Energía",,"False"
"4","E2","Pollution","air pollution",,"Contaminación","Contaminación del aire",,"False"
"5","E2","Pollution","Water pollution",,"Contaminación","Contaminación del agua",,"False"
"6","E2","Pollution","Soil pollution",,"Contaminación","Contaminación del suelo",,"False"
"7","E2","Pollution","Contamination of living organisms and food resources",,"Contaminación","Contaminación de organismos vivos y recursos alimentarios",,"False"
"8","E2","Pollution","Substances of concern",,"Contaminación","Sustancias preocupantes",,"False"
"9","E2","Pollution","Substances of extremely high concern",,"Contaminación","Sustancias extremadamente preocupantes",,"False"
"10","E2","Pollution","Microplastics",,"Contaminación","Microplásticos",,"False"
"11","E3","Water and marine resources","Water","Water consumption","Agua y recursos marinos","Agua","Consumo de agua","False"
"12","E3","Water and marine resources","Water","Water extractions","Agua y recursos marinos","Agua","Extracciones de agua","False"
"13","E3","Water and marine resources","Water","water spills","Agua y recursos marinos","Agua","Vertidos de agua","False"
"14","E3","Water and marine resources","Water","Water spills into the oceans","Agua y recursos marinos","Agua","Vertidos de agua en los océanos","False"
"15","E3","Water and marine resources","Marine resources","Extraction and use of marine resources","Agua y recursos marinos","Recursos marinos","Extracción y utilización de los recursos marinos","False"
"16","E4","Biodiversity and ecosystems","Factors of direct impact on the loss of biodiversity","Climate change","Biodiversidad y ecosistemas","Factores de incidencia directa sobre la pérdida de biodiversidad","Cambio climático","False"
"17","E4","Biodiversity and ecosystems","Factors of direct impact on the loss of biodiversity","Land use change, freshwater use change and sea use change","Biodiversidad y ecosistemas","Factores de incidencia directa sobre la pérdida de biodiversidad","Cambio del uso de la tierra, cambio del uso de las aguas dulces y cambio del uso del mar","False"
"18","E4","Biodiversity and ecosystems","Factors of direct impact on the loss of biodiversity","Direct exploitation","Biodiversidad y ecosistemas","Factores de incidencia directa sobre la pérdida de biodiversidad","Explotación directa","False"
"19","E4","Biodiversity and ecosystems","Factors of direct impact on the loss of biodiversity","Invasive alien species","Biodiversidad y ecosistemas","Factores de incidencia directa sobre la pérdida de biodiversidad","Especies exóticas invasoras","False"
"20","E4","Biodiversity and ecosystems","Factors of direct impact on the loss of biodiversity","Pollution","Biodiversidad y ecosistemas","Factores de incidencia directa sobre la pérdida de biodiversidad","Contaminación","False"
"21","E4","Biodiversity and ecosystems","Factors of direct impact on the loss of biodiversity","Others","Biodiversidad y ecosistemas","Factores de incidencia directa sobre la pérdida de biodiversidad","Otros","False"
"22","E4","Biodiversity and ecosystems","Incidents on the status of the species",,"Biodiversidad y ecosistemas","Incidencias sobre el estado de las especies",,"False"
"23","E4","Biodiversity and ecosystems","Incidents on the extent and state of ecosystems",,"Biodiversidad y ecosistemas","Incidencias sobre la extensión y el estado de los ecosistemas",,"False"
"24","E4","Biodiversity and ecosystems","Incidents on ecosystem services and dependencies on these services",,"Biodiversidad y ecosistemas","Incidencias sobre los servicios ecosistémicos y dependencias de estos servicios",,"False"
"25","E5","Circular economy","Resource inputs, including resource utilization",,"Economía circular","Entradas de recursos, incluida la utilización de los recursos",,"False"
"26","E5","Circular economy","Resource outflows related to products and services",,"Economía circular","Salidas de recursos relacionadas con productos y servicios",,"False"
"27","E5","Circular economy","Waste",,"Economía circular","Residuos",,"False"
"28","S1","Own staff","Working conditions","Secure employment","Personal propio","Condiciones de trabajo","Empleo seguro","False"
"29","S1","Own staff","Working conditions","Working time","Personal propio","Condiciones de trabajo","Tiempo de trabajo","False"
"30","S1","Own staff","Working conditions","Adequate salaries","Personal propio","Condiciones de trabajo","Salarios adecuados","False"
"31","S1","Own staff","Working conditions","Social dialogue","Personal propio","Condiciones de trabajo","Diálogo social","False"
"32","S1","Own staff","Working conditions","Freedom of association, the existence of works councils and the rights of information, consultation and participation of workers","Personal propio","Condiciones de trabajo","Libertad de asociación, la existencia de comités de empresa y los derechos de información, consulta y participación de los trabajadores","False"
"33","S1","Own staff","Working conditions","Collective bargaining, including the proportion of workers covered by collective agreements","Personal propio","Condiciones de trabajo","Negociación colectiva, incluida la proporción de trabajadores cubiertos por convenios colectivos","False"
"34","S1","Own staff","Working conditions","Work conciliation","Personal propio","Condiciones de trabajo","Conciliación laboral","False"
"35","S1","Own staff","Working conditions","Health and safety","Personal propio","Condiciones de trabajo","Salud y seguridad","False"
"36","S1","Own staff","Equal treatment and opportunities for all","Gender equality and equal pay for work of equal value","Personal propio","Igualdad de trato y oportunidades para todos","Igualdad de género e igualdad de remuneración por un trabajo de igual valor","False"
"37","S1","Own staff","Equal treatment and opportunities for all","Training and capacity development","Personal propio","Igualdad de trato y oportunidades para todos","Formación y desarrollo de capacidades","False"
"38","S1","Own staff","Equal treatment and opportunities for all","Employment and inclusion of people with disabilities","Personal propio","Igualdad de trato y oportunidades para todos","Empleo e inclusión de las personas con discapacidad","False"
"39","S1","Own staff","Equal treatment and opportunities for all","Measures against violence and harassment in the workplace","Personal propio","Igualdad de trato y oportunidades para todos","Medidas contra la violencia y el acoso en el lugar de trabajo","False"
"40","S1","Own staff","Equal treatment and opportunities for all","Diversity","Personal propio","Igualdad de trato y oportunidades para todos","Diversidad","False"
"41","S1","Own staff","Other labor rights","child labor","Personal propio","Otros derechos laborales","Trabajo infantil","False"
"42","S1","Own staff","Other labor rights","Forced labor","Personal propio","Otros derechos laborales","Trabajo forzoso","False"
"43","S1","Own staff","Other labor rights","Adequate housing","Personal propio","Otros derechos laborales","Vivienda adecuada","False"
"44","S1","Own staff","Other labor rights","Privacy","Personal propio","Otros derechos laborales","Privacidad","False"
"45","S2","Value chain workers","Working conditions","Secure employment","Trabajadores de la cadena de valor","Condiciones de trabajo","Empleo seguro","False"
"46","S2","Value chain workers","Working conditions","Working time","Trabajadores de la cadena de valor","Condiciones de trabajo","Tiempo de trabajo","False"
"47","S2","Value chain workers","Working conditions","Adequate salaries","Trabajadores de la cadena de valor","Condiciones de trabajo","Salarios adecuados","False"
"48","S2","Value chain workers","Working conditions","Social dialogue","Trabajadores de la cadena de valor","Condiciones de trabajo","Diálogo social","False"
"49","S2","Value chain workers","Working conditions","Freedom of association, including the existence of works councils","Trabajadores de la cadena de valor","Condiciones de trabajo","Libertad de asociación, incluida la existencia de comités de empresa","False"
"50","S2","Value chain workers","Working conditions","Collective bargaining","Trabajadores de la cadena de valor","Condiciones de trabajo","Negociación colectiva","False"
"51","S2","Value chain workers","Working conditions","Work conciliation","Trabajadores de la cadena de valor","Condiciones de trabajo","Conciliación laboral","False"
"52","S2","Value chain workers","Working conditions","Health and safety","Trabajadores de la cadena de valor","Condiciones de trabajo","Salud y seguridad","False"
"53","S2","Value chain workers","Equal treatment and opportunities for all","Gender equality and equal pay for work of equal value","Trabajadores de la cadena de valor","Igualdad de trato y oportunidades para todos","Igualdad de género e igualdad de remuneración por un trabajo de igual valor","False"
"54","S2","Value chain workers","Equal treatment and opportunities for all","Training and capacity development","Trabajadores de la cadena de valor","Igualdad de trato y oportunidades para todos","Formación y desarrollo de capacidades","False"
"55","S2","Value chain workers","Equal treatment and opportunities for all","Employment and inclusion of people with disabilities","Trabajadores de la cadena de valor","Igualdad de trato y oportunidades para todos","El empleo y la inclusión de las personas con discapacidad","False"
"56","S2","Value chain workers","Equal treatment and opportunities for all","Measures against violence and harassment in the workplace","Trabajadores de la cadena de valor","Igualdad de trato y oportunidades para todos","Medidas contra la violencia y el acoso en el lugar de trabajo","False"
"57","S2","Value chain workers","Equal treatment and opportunities for all","Diversity","Trabajadores de la cadena de valor","Igualdad de trato y oportunidades para todos","Diversidad","False"
